Section,Name,Youtube Link
Algebra (KA),Partial Fraction Expansion 3,https://www.youtube.com/watch?v=A52fEdPn9lg
Algebra (KA),Parabola Focus and Directrix 1,https://www.youtube.com/watch?v=ZJf9shWlMz0
Algebra (KA),Focus and Directrix of a Parabola 2,https://www.youtube.com/watch?v=1Jm9rREA-uA
Algebra (KA),Two Passing Bicycles Word Problem,https://www.youtube.com/watch?v=Nx4Xk5S4HQA
Algebra (KA),Passed Bike Word Problem,https://www.youtube.com/watch?v=P03ljxjy8Nw
Algebra (KA),Passing Trains,https://www.youtube.com/watch?v=qLLjD-g_9ms
Algebra (KA),Overtaking Word Problem,https://www.youtube.com/watch?v=LYWUHaWwY0c
Algebra (KA),Early Train Word Problem,https://www.youtube.com/watch?v=uA3m8vbd2wc
Algebra (KA),Officer on Horseback,https://www.youtube.com/watch?v=IPJAi5zWu9U
Algebra (KA),Rational Inequalities,https://www.youtube.com/watch?v=ZjeMdXV0QMg
Algebra (KA),Rational Inequalities 2,https://www.youtube.com/watch?v=2RnS3fSHVV8
Algebra (KA),Interesting Polynomial Coefficient Problem,https://www.youtube.com/watch?v=hypi8QPsFEk
Algebra (KA),Geometric series sum to figure out mortgage payments,https://www.youtube.com/watch?v=i05-okb1EJg
Algebra (KA),Introduction to Function Inverses,https://www.youtube.com/watch?v=W84lObmOp8M
Algebra (KA),Function Inverse Example 1,https://www.youtube.com/watch?v=wSiamij_i_k
Algebra (KA),Function Inverses Example 2,https://www.youtube.com/watch?v=aeyFb2eVH1c
Algebra (KA),Function Inverses Example 3,https://www.youtube.com/watch?v=Bq9cq9FZuNM
Algebra (KA),Direct and Inverse Variation,https://www.youtube.com/watch?v=92U67CUy9Gc
Algebra (KA),Recognizing Direct and Inverse Variation,https://www.youtube.com/watch?v=3_DxJwDTbyQ
Algebra (KA),Recognizing Odd and Even Functions,https://www.youtube.com/watch?v=8VgmBe3ulb8
Algebra (KA),Connection between even and odd numbers and functions,https://www.youtube.com/watch?v=jFazrvLodrA
Algebra (KA),New Operator Definitions,https://www.youtube.com/watch?v=ND-Bbp_q46s
Algebra (KA),Proof by Induction,https://www.youtube.com/watch?v=wblW_M_HVQ8
Algebra (KA),Alternate Proof to Induction for Integer Sum,https://www.youtube.com/watch?v=1wnIsgUivEQ
Algebra (KA),Writing Proportions,https://www.youtube.com/watch?v=96ZEmUbnuU8
Algebra (KA),Coverting Repeating Decimals to Fractions 1,https://www.youtube.com/watch?v=FPNhCVZlbJs
Algebra (KA),Coverting Repeating Decimals to Fractions 2,https://www.youtube.com/watch?v=Ihws0d-WLzU
